Decision: Accepted SEAS Objective:,"SAT I: 1530; 790M, 740ERW",,"SAT II (subject, score): 800 Math II, 720 Physics, 790 Spanish",GPA: 4.0/4.0,Rank (percentile if rank is unavailable): 15/376,Gender: Male,Ethnicity: Mexican,Income Bracket Range: ~80k,"School Type: Public, somewhat large"
Decision,SAT,ACT,Subject_tests,GPA,Rank,Gender,Ethnicity,Income_Bracket,School_Type
Decision: Deferred,SAT I (breakdown): NA,"ACT (breakdown): 34C (34E,35M,35R,32S)","SAT II: Math 2 (800), Physics (650) - I hadn't taken an AP science or equivalent, so this was full self-study and I made that clear.",GPA (out of 4.0): 3.88UW (only 1 B in an academic class though),"Rank (percentile if rank is unavailable): 67/475, I transferred schools so my weighted GPA/rank mean nothing due to me not having a weighted GPA for most of high school.",Gender: Male,Ethnicity: White,,School Type: Good public
Decision: Deferred,SAT I (breakdown):,ACT (breakdown):,SAT II:,GPA (out of 4.0):,Rank (percentile if rank is unavailable):,Gender:,Ethnicity:,,School Type:
Decision: Deferred,"SAT: 1530 (800M, 730RW, 24/24 essay); Subject tests: 800 Math II, 800 BioE (also got 740 BioM, 720 Math II and accidentally sent those RIP); APs: all 5s: Bio, Lang, USH, Envi Sci, Calc BC, Chem. Taking Phys C: Mech, Econ, Lit, and Euro this year.",,,"GPA: 4.7 W (salutatorian) 4.0 UW; SAT: 1530 (800M, 730RW, 24/24 essay); Subject tests: 800 Math II, 800 BioE (also got 740 BioM, 720 Math II and accidentally sent those RIP); APs: all 5s: Bio, Lang, USH, Envi Sci, Calc BC, Chem. Taking Phys C: Mech, Econ, Lit, and Euro this year.",,Gender: Male,Ethnicity: White/Pinoy ,Income Bracket: VERY complicated and I don't really wanna address it here,"School Type: fringe rural public, above average, generally upper middle, Levittown-esque high school, not one of those crazy competitive publics around here tho lol"
Decision: Rejected[*/color][*/size][*/b],"SAT I (breakdown): 800 Maths, 710 EBRW, essay 5/5/7",,"SAT II: Maths-II 800, Physics 800",GPA (Italy): 9.08/10,,Gender: Female,Ethnicity: White,,School Type: STEM-focused high school (public)
,,,,,,,,,
Decision: Accepted,"SAT I (breakdown): 1570 (800 M, 770 R/W)",ACT (breakdown): Didn’t take,"SAT II: 800 Math II, 800 Chem, 790 BioM",GPA (out of 4.0): 3.98,Rank (percentile if rank is unavailable): My school does not rank,Gender: Male,Ethnicity: African American,Income Bracket: < 40000,School Type: Specialized High School (Large Public)
Decision: Deferred,"SAT I (breakdown): 1590 (800 Math, 790 English, 21 Essay)",ACT (breakdown): N/A,"SAT II: 800 (Math II), 800 (Physics)","GPA (out of 4.0): 3.7122/4.33 (we have it weird, where A+ = 4.33)",Rank (percentile if rank is unavailable): Eh maybe top 10%,Gender: Male,Ethnicity: Indian,"Income Bracket: 200,000","School Type: Large, Competitive Public"
Decision: Deferred[*/size],"SAT I (breakdown): 1560 (790M, 770E)",ACT (breakdown):36 superscore,SAT II:,GPA (out of 4.0): 4.0,"Rank (percentile if rank is unavailable):1, targeted to be valedictorian",,,,
Decision: Deferred[*/color][*/size][*/b],"SAT I (breakdown): 750 RW, 780 Math",,"SAT II: 800 Math, 770 Physics",GPA (out of 4.0): 3.85 (Note that GPAs are highly school dependent.),,Gender: male,Ethnicity: white,,School Type: Independent
Decision: Accepted,"SAT I (breakdown): 1570, 800 Reading+Writing, 770 Math",ACT (breakdown): NA,"SAT II: 800 Math II, 770 Chemistry",GPA (out of 4.0): 3.89,Rank (percentile if rank is unavailable): 1/~350,Gender: Female,Ethnicity: Mixed,,School Type: Public
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Decision: Accepted,SAT I (breakdown):800 Math 700 CR,ACT (breakdown):,SAT II:800 Math 2 750 Physics,GPA (out of 4.0): 3.92,Rank (percentile if rank is unavailable):2nd/ 350,Gender: Male,Ethnicity: Caucasian,,School Type: non private school
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Decision: Deferred,"SAT I (breakdown): 790 Math, 730 English, 6/4/6 essay",ACT (breakdown):,"SAT II: 800 math II, 750 bio-M",GPA (out of 4.0): My school doesn't do unweighted GPAs,Rank (percentile if rank is unavailable): 1/220,Gender: male,Ethnicity: white,,"School Type: public, coed"
Decision: Rejected,SAT I (breakdown): 1570 (800M / 770E),ACT (breakdown): didn't take,SAT II: 800 Chemistry 800 Math 2,GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): like 3/700 but idk,Gender: Female,Ethnicity: White,,School Type: Public
Decision,SAT,ACT,Subject_tests,GPA,Rank,Gender,Ethnicity,Income_Bracket,School_Type
Decision: Rejected Objective:,SAT I (breakdown M/CR/W/Essay): Didn't take,ACT (breakdown): 33C,"SAT II (subject, score): 780 Math II, 790 Chemistry",GPA (out of 4.0): 3.73,Rank (percentile if rank is unavailable): n/a (~ top 15%),Gender: Male,Ethnicity: White,Income Bracket Range: Middle class,School Type: Small public
Decision: WaitlistedObjective:,"SAT I (breakdown M/CR/W/Essay): 780/790, 8/8/8",ACT (breakdown): 35/35/35/34 in science,"SAT II (subject, score): Math II, 800; US History, 790; Physics, 750",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): 3/399,Gender: the future is female,Ethnicity: whitest white bread you ever saw,"Income Bracket Range: abnormally high in the year they ask for, usually around $110k, 2016 was like 5x that bc stock options sometimes work out for people who work at startups",School Type: Large public (at least by Idaho standards--there are 400 kids in my class in a state where maybe 150 is a lot more common)
Decision: Rejected [/b][/color][/size],SAT I superscore (breakdown M/CR/W/Essay): 790/760/NA/No idea,,"SAT II (subject, score): 800 M2, 800 Physics, 770 USH",GPA (out of 4.0): roughly 4,,Gender: Male,Ethnicity: White,Income Bracket Range: High,School Type: Private Prep
Decision: WaitlistedObjective:,SAT I (breakdown M/CR/W/Essay): 800 M/760 R,ACT (breakdown): 35 M/36 R/35 S/36 E,"SAT II (subject, score): math 2: 790, physics 800",GPA (out of 4.0): 4.0/4.0,Rank (percentile if rank is unavailable): 2nd decile see reason above. Mit doesn’t consider rank tho,Gender: F,Ethnicity: white russian (lmao),"Income Bracket Range: didnt apply for financial aid, can’t afford MIT",School Type: public
Decision: Accepted Objective:,"SAT I (breakdown): 1540 (800 RW and 740 M, 17/24 essay)",ACT (breakdown): N/A,"SAT II: 800 French, 740 Math 2, 710 Physics",GPA (out of 4.0): 4.0,"Rank (percentile if rank is unavailable): Not reported, but top of class",Gender: female,Ethnicity: white,Income Bracket(mention if FA candidate): upper middle class,School Type: small private
Decision:AcceptedObjective:,SAT I (breakdown M/CR/W/Essay): 790/750/22,ACT (breakdown): Math (35) Reading (36) English (35) Science (35) Writing (11),"SAT II (subject, score): Biology M (790) Mathematics 2 (770)",GPA (out of 4.0): 3.86,Rank (percentile if rank is unavailable): 3 or 6,Gender: Male,Ethnicity: White,"Income Bracket Range: 46,000",School Type: Public
Decision: AdMITted!,SAT I: 1580,ACT (breakdown): 35,"SAT II (subject, score): 800 Biology, 790 Math II",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): 6/492,Gender: female,Ethnicity: white,Income Bracket Range: upper middle,"School Type: Large, public"
Decision: Accepted,SAT I 1570 breakdown M780/CR/W/790 Essay 8,,"SAT II (subject, score):Chemistry 760, Math 770",GPA (out of 4.0):4.0,Rank (percentile if rank is unavailable):N/A,Gender: male,Ethnicity: Hispanic,Income Bracket Range: $100k,School Type: home school
Decision: Accepted,SAT I: 760R 800M 22E,,"SAT II: 800 Math II, 780 Chemistry, 780 Latin",GPA (out of 4.0): 4.0,"Rank: Officially N/A, unofficially at least top 5/120",Gender: prefer not to say,"Ethnicity: sorta complicated but basically half ashkenazi jew, half caribbean black",Income Bracket: 200kish,"School Type: private academic, full of high-achievers -- probably the best in my country"
Decision: Accepted Objective:,SAT I : (1490) Math - 770 | Reading - 720 | Essay - 18,ACT : (35) Reading/English - 36 | Math - 35 | Science - 34,SAT II : Math 2 - 800 | Physics - 720 | Biology - 750,GPA (out of 4.0): 4.0,Rank : None,Gender: Female,Ethnicity: Asian,Income Bracket Range: 50K ishReflection,School Type: Public
Decision: Accepted Objective:,"SAT I: 1530; 790M, 740ERW",,"SAT II (subject, score): 800 Math II, 720 Physics, 790 Spanish",GPA: 4.0/4.0,Rank (percentile if rank is unavailable): 15/376,Gender: Male,Ethnicity: Mexican,Income Bracket Range: ~80k,"School Type: Public, somewhat large"
Decision: Rejected after Deferred Objective:,SAT I (breakdown M/CR/W/Essay): 1500 (750/750),"ACT (breakdown): 35: english - 35, math - 33, reading - 36, science - 36","SAT II (subject, score): physics - 650, math i - 720, math ii - 770",GPA (out of 4.0):,Rank (percentile if rank is unavailable):,Gender: female,Ethnicity: Hispanic,Income Bracket Range:,School Type: private/Catholic
Decision,SAT,ACT,Subject_tests,GPA,Rank,Gender,Ethnicity,Income_Bracket,School_Type
,,,,,,,,,
Decision: Deferred [/size][/b],"SAT I (breakdown): 1500 (780 E, 720 M) -- taken and submitted to Yale October of junior year... oops.","ACT (breakdown): 35C (33 M, 34 S, 36 R, 36 E)","SAT II: 710 Lit, 730 USH.",GPA (out of 4.0): 3.95,Rank (percentile if rank is unavailable):73/600 #oof,Gender: female,Ethnicity: white,Income Bracket: 65-100k,"School Type: public, soul-destroyingly-competitive"
Decision: Rejected ,"SAT II: 800 Math II, Biology (800 expected), Physics (780-800 expected)","ACT (breakdown): 36 superscore (twice)- 36E, 36M, 35R, 35S => Essay: 10","SAT II: 800 Math II, Biology (800 expected), Physics (780-800 expected)",GPA (out of 4.0): 3.87,"Rank (percentile if rank is unavailable): No rank, but approximately top 5%",Gender: M,Ethnicity: Chinese,Income Bracket: Upper,"School Type: Public, 300 students in my class"
Decision: Rejected ,SAT I (breakdown): Did not take.,"ACT (breakdown): 35 (35E, 35M, 34R, 34S). First time.","SAT II: 800 Math II, 770 Spanish with Listening",GPA (out of 4.0): 3.84 (bad first trimester),Rank (percentile if rank is unavailable): Idk; top 20%,Gender: male,Ethnicity: indian,Income Bracket: >250K,School Type: boarding
Decision: Deferred [/color][/size],SAT II: 780 math II,"ACT (breakdown): 35 (36 reading, 36 English, 34 math, 34 science)",SAT II: 780 math II,GPA (out of 4.0): 3.99,"Rank (percentile if rank is unavailable): 23/413, 6%",Gender: F,Ethnicity: white,Income Bracket: upper middle,School Type: public
Decision: Deferred ,"SAT I (breakdown): 1560 (770R, 790M)",,"SAT II: Math II - 800, Physics - 800",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): School does not rank,Gender: Male,Ethnicity: Hispanic,Income Bracket: <50k,School Type: Private (w/ financial aid)
Decision: Accepted ,"SAT I (breakdown): 790 reading, 780 math","ACT (breakdown): 36 (36R,M, and W, with 35S)","SAT II: 800 literature, 780 Spanish",GPA (out of 4.0): 3.8,Rank (percentile if rank is unavailable): No rank or percentile,Gender: F,Ethnicity: Latina & white,Income Bracket: UMC,School Type: Public (small)
Decision: Accepted Objective:,"SAT I (breakdown): 1590 (790 Reading, 800 Math)",ACT (breakdown): 36 (all sections),SAT II:,GPA (out of 4.0): 3.9,Rank (percentile if rank is unavailable): N/A,Gender: Male,Ethnicity: Korean,Income Bracket: <$50K,"School Type: Public, ~1000 graduating class"
Decision: Accepted,SAT I (breakdown): didn't take,"ACT (breakdown): got a 33 then a 34, 30M 36 E 36 R 33 S",SAT II: 790 lit and low 730 us history,GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): school doesn't rank,Gender: Female,Ethnicity: White,Income Bracket:,School Type: Public school
Decision: Rejected ,"SAT I (breakdown): 1550 (780 Reading, 770 Math)",ACT (breakdown): N/A,SAT II: 790 Chemistry,GPA (out of 4.0): N/A,Rank (percentile if rank is unavailable): 4/~270,Gender Studies Club,Ethnicity: White,,School Type: Public
Decision: Deferred [/color][/size],SAT I (breakdown): Overall: 1530 M: 770 R: 760,ACT (breakdown): Overall: 33 R:36 W:36 S:32 M:28,SAT II: Lit: 730,GPA (out of 4.0): 3.7,Rank (percentile if rank is unavailable): Not ranked,Gender: Female,Ethnicity: White,,School Type: Residential public art school
Decision: Deferred [/color][/size][/b],"SAT I (breakdown): 1550 (760 EBRW, 790 Math)",,"SAT II: Math II= 800, Physics- 750",GPA (out of 4.0): 3.99?? We don't really use unweighted out of 4.0,"Rank (percentile if rank is unavailable): Top 5%, class of around 125",Gender: Male,Ethnicity: White,,School Type: Private/ religious
Decision: Deferred ,SAT I (breakdown): not sent,ACT (breakdown): 33,SAT II: never took them,GPA (out of 4.0): 3.93,Rank (percentile if rank is unavailable): 5/400,Gender: male,Ethnicity: white,Income Bracket: 100k,School Type: lower income public
Decision: Accepted ,SAT I (breakdown): 1400/1600,ACT (breakdown): N/A,SAT II: N/A,GPA (out of 4.0): 6.75/7.00 (IB),Rank (percentile if rank is unavailable): Top 5 out of 100 or so (idk tho),Gender: Male,Ethnicity: White,Income Bracket: 200-300k,"School Type: Private, Boarding (UWC)"
Decision: Deferred ,SAT I (breakdown): didn't send,ACT (breakdown): 35 C 36R 36W 34M 33S,"SAT II: 800 Bio M, 780 Math II","GPA (out of 4.0): out of 100, 98.7...",Rank (percentile if rank is unavailable): 1/230 (was 2 when I applied),Gender F,Ethnicity: Latina,Income Bracket: Middle class,School Type: Small city public
Decision: Deferred ,SAT I (breakdown): Didn't send,"ACT (breakdown): 29C 23M 33W 33R 25S (9 or 10 essay, I forgot)",SAT II: None,GPA: 3.78,Rank: Top 15%,Gender: Female,Ethnicity: White/Japanese,Income Bracket: High(ish),School Type: Public
Decision: Rejected ,SAT I (breakdown): Never Took it,ACT (breakdown): 34C (34E 32M 35R 35S) (SS is one point higher in English),SAT II: 710 Math 2 750 Chem,GPA: 96.5/100,Rank (percentile if rank is unavailable): N/A,Gender: Male,Ethnicity: White,Income Bracket: 200-300k,School Type: Private
Decision: Deferred [/color][/size][/b],SAT I (breakdown): n/a,"ACT (breakdown): 33C (36R, 35W, 33S, 30M)","SAT II: 750 US, 770 World",GPA (out of 4.0): 4.5,Rank (percentile if rank is unavailable): 15/363,Gender: Female,Ethnicity: White (both white white and the spicy ethnic white that is Middle Eastern),Income Bracket: 150k+,School Type: Suburban Public
,,,,,,,,,
Decision: Accepted ,SAT I (breakdown): Didn’t Send,"ACT (breakdown): 35 single sitting, 36 superscore","SAT II: 790 Math 2, 740 Chem, 710 Physics (lol)","GPA (out of 4.0): School doesn’t provide, but I calculated 3.8",Rank (percentile if rank is unavailable): top 20%,Gender: Female,Ethnicity: White (Jewish),"Income Bracket: Maybe 150,000?","School Type: Public, very competitive"
Decision,SAT,ACT,Subject_tests,GPA,Rank,Gender,Ethnicity,Income_Bracket,School_Type
Decision: Accepted ,"SAT I (breakdown): 1580, 6/6/6, 1 try",ACT (breakdown): N/A,"SAT II: Bio M, Chem, Math 2 (all 800)",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): 6/555,Gender: M,Ethnicity: White,Income Bracket: 100-150K,"School Type: Large public, small program nestled on a huge campus."
Decision: Deferred ,"SAT II: 800 (US History), 750 (Math II)","ACT (breakdown): 35 C (36 E, 35 R, 34 S, 33 M, 12 essay/36 writing)","SAT II: 800 (US History), 750 (Math II)",GPA (out of 4.0): 4.0 (~98-99),Rank (percentile if rank is unavailable): 1/269,Gender: Female,Ethnicity: White,Income Bracket: Middle class,School Type: Public
Decision: Deferred [/color][/size][/b],"SAT I (breakdown): 1550, 770 English and 780 Math",,"SAT II: 790 History, 740 Literature",GPA (out of 4.0): 4.5,Rank (percentile if rank is unavailable): 1st Decile (top 10%),"Gender Studies, Dual Enrollment Creative Nonfiction",Ethnicity: White,"Income Bracket: $200,000","School Type: Public, 600 students"
Decision: Accepted [/color][/size],"SAT I (breakdown): 790 math, 730 reading (writing I don't know on hand); 1520",ACT (breakdown): none,"SAT II: 790 Math 2, 730 U.S. History",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): 13/530ish,Gender: F,Ethnicity: Asian,Income Bracket: >200k,School Type: large public
Decision: Rejected ,SAT I (breakdown): N/A,"ACT (breakdown): 34C (34E, 29M, 36R, 36S)",SAT II: N/A,GPA (out of 4.0): 3.87,"Rank (percentile if rank is unavailable): School doesn't rank, but I have the top GPA.",Gender: Male,Ethnicity: White,Income Bracket: Upper middle class,School Type: Private
,SAT: N/A,"ACT: 36 C, 36 E, 36 R, 36 M, 36 S",SAT II: Never checked after I learned that most schools don't require. My twin sis is applying to Georgetown so I took 3 and like 3 days later I learned NONE OF MY SCHOOLS WANT THEM,GPA: 4.0,Rank: My school doesn't do this,Gender: F,Ethnicity: Caucasian as can be,Income Bracket: Upper upper middle class?,
Decision: Deferred ,"SAT I (breakdown): 770R 700M, 6/6/6W",ACT (breakdown):,SAT II:Math 2(680) Bio(680),"GPA (out of 4.0): my school gives percents, 102.7",Rank (percentile if rank is unavailable): 1/350,Gender: F,Ethnicity: White,Income Bracket: ~60k,School Type: Public Vocational (Commercial Arts is my program)
Decision: Rejected ,SAT I (breakdown): 1590 (first try),"ACT (breakdown): 35 - first try (36E, 34M, 36R, 34S)","SAT II: 800 (Math II), 750 (Chem), 740 (Bio), 740 (Spanish), 730 (Lit)",GPA (out of 4.0): 3.7 (4.2 weighted),Rank (percentile if rank is unavailable): 225/673 before school abolished rank (yikes...),Gender: female,Ethnicity: Asian (Indian) ,Income Bracket: 200k+,School Type: Large competitive public
Decision: Rejected ,,,,,,,,,
Decision: Deferred,"SAT I: 670R, 800M 7/7/7 essay",,SAT II: 700 (math II),,,,,,
Decision: Accepted ,,,,,,,,,
Decision: Rejected ,SAT1: 1530,,,GPA: Not used in my school,Ranking: Non-Ranked,,,,
Decision: Accepted ,SAT I (breakdown): N/A,ACT (breakdown): 34 C,SAT II: 800 M2 770 Bio-M,GPA (out of 4.0): 4.33,Rank (percentile if rank is unavailable): 1/106,Gender: M,Ethnicity: --,Income Bracket: --,School Type: Public
Decision: Deferred ,SAT I (breakdown): N/A,"ACT (breakdown): 34 (33E, 35M, 35R, 32S)","SAT II: 770 Physics, 760 Chemistry, 760 Math II",GPA (out of 4.0): 3.83UW (4.58W),Rank (percentile if rank is unavailable): N/A,Gender: Male,Ethnicity: White,Income Bracket: Upper-Middle,School Type: Public
Decision: Accepted ,SAT I (breakdown): 1430 (740 Critical Reading / 690 Math),,"SAT II: 800 US History, 760 Literature",GPA (out of 4.0): 3.81 (4.07 weighted),Rank (percentile if rank is unavailable): 11/136,Gender: Male.,"Ethnicity: White, African-American, and Hispanic (mixed)","Income Bracket: 100,000-120,000, upper middle class",School Type: Public charter high school
Decision: Accepted [/size],SAT I (breakdown): Didn't take,ACT (breakdown): 35 C,"SAT II: 780 Bio E, 720 Lit",GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): 11/400,Gender: Male,Ethnicity: White,,School Type: Public
,SAT - 1550,,,GPA - school does not give,Rank - 1/100 (but school does not rank),,,,
Decision: Deferred [/color],SAT I (breakdown): 740 M 720 R,ACT (breakdown): 34 (35 E 35 R 34 M 34 S),SAT II: 780 US History 700 Math II,GPA (out of 4.0): 3.924,Rank (percentile if rank is unavailable): n/a,Gender: Male,Ethnicity: White,Income Bracket: Upper middle class,School Type: Large public
Decision: Accepted ,"SAT I : 1550 (790M, 760V)",,SAT II: 710 US History; 800 Math II,GPA (out of 4.0): 3.93,Rank: 4/110,Gender: Male,Ethnicity: White,Income Bracket: Upper,"School Type: Private school, 110 kids"
Decision: Deferred,SAT I (breakdown): Didn't send,"ACT (breakdown): 34 (35 English, 34 Reading, 34 Math, 33 Science)","SAT II: Physics=750, Math II=760",GPA (out of 4.0): 4.0,"Rank (percentile if rank is unavailable): School doesn't rank, but top 2% out of ~500",Gender: F,Ethnicity: Chinese,Income Bracket: 150k,School Type: Public
Decision,SAT,ACT,Subject_tests,GPA,Rank,Gender,Ethnicity,Income_Bracket,School_Type
,,,,,,,,,
Decision: Rejected,SAT I (breakdown): 1570 (800 Math / 770 English),ACT (breakdown): didn’t take,"SAT II: 800 Math II, 800 Chemistry",GPA (out of 4.0): 4.0,"Rank (percentile if rank is unavailable): I’m in the top 1% in a graduating class of 700, but I don’t know the exact rank",Gender: female,Ethnicity: Persian,"Income Bracket: 160,000 ish idk exactly",School Type: public
Decision: Rejected,"SAT I (breakdown): 1580 (790 Math, 790 verbal, 22 essay)",,"SAT II: Biology 800, Math II 800, Chemistry 740",GPA (out of 4.0): 3.98,Rank (percentile if rank is unavailable): 21/120,Gender: Male,Ethnicity: Indian,"Income Bracket: < $25,000",School Type: Charter
Decision: Rejected,SAT I (breakdown): 1530 (760 reading & writing; 770 math),ACT (breakdown): didn't take,SAT II: 800 Math 2; 710 Spanish (retaking it),GPA (out of 4.0): 3.97,Rank (percentile if rank is unavailable): none,Gender: Male,Ethnicity: It doesn't get whiter than this folks,Income Bracket: $120k,School Type: Public
Decision: Rejected[/color][/size][/b],"SAT I (breakdown): 1560: 770 Reading, 790 Math","ACT (breakdown): 36: 36 Math, 36 Science, 34 Reading, 36 English","SAT II: 770 Math II, 750 Physics, 750 Biology",GPA (out of 4.0): 3.68,Rank (percentile if rank is unavailable): School doesn't rank (or offer AP Classes),Gender: Male,Ethnicity: Black,"Income Bracket:160,000-200,000","School Type: Small, Private, Catholic"
Decision: Rejected,SAT I (breakdown): 1520 (770M/750E),ACT (breakdown): Did not report,SAT II: 780 Molecular Biology,GPA (out of 4.0):,Rank (percentile if rank is unavailable): 11%,Gender: F,Ethnicity: White (Middle Eastern),"Income Bracket: >150,000","School Type: I go to two schools, a Public school, and a magnet science-research school. I alternate where I attend every day."
Decision: Rejected,SAT I (breakdown): 1520 (780 M) (740 R/W) (Essay: 23/24),ACT (breakdown): didn't take,"SAT II: 770 US History, 690 Literature",GPA (out of 4.0): 3.98,Rank (percentile if rank is unavailable): school doesn't rank,Gender: Female,Ethnicity: Asian (Indian),Income Bracket: more than 200k,School Type: HUGE public (3000+ kids)
Decision: Accepted[/color],SAT I (breakdown): Didn't submit,ACT (breakdown): 35 (36E 36R 34S 33M),SAT II: Math 1(790),GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): School doesn't rank (Top 10%),Gender: Male,Ethnicity: African American,Income Bracket: Prefer not to say,School Type: Public
Decision: Rejected,SAT I (breakdown): 1470,ACT (breakdown): Didn't take,SAT II: Math 2 - 800 ; Literature - 780 ; Spanish (Without Listening) - 660,GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): 1 out of about 100,Gender: Female,Ethnicity: White,"Income Bracket: <$50,000",School Type: Public
Decision: Rejected,SAT I (breakdown): 1510 (780 Math & 730 English): did not submit,ACT (breakdown): 35 (all sections),SAT II: 780 Biology,GPA (out of 4.0): 3.96,"Rank (percentile if rank is unavailable): Counselor informed me that I was number 1 or 2 in a class of ~300, so top 1%.",Gender: Male,Ethnicity: Indian,Income Bracket: <100k,School Type: Public
Decision: Rejected,"SAT I (breakdown): 1490 (710 English, 780 Math)",ACT (breakdown): N/A,"SAT II: 800 Math 2, 740 Physics",GPA (out of 4.0): 3.7 (My school has a deflated GPA system rip),Rank (percentile if rank is unavailable): N/A,Gender: Male,Ethnicity: Asian,Income Bracket: N/A,School Type: International School
Decision: Deferred,SAT I (breakdown): N/A,"ACT (breakdown): Composite 30, Superscore 31, English 31, Reading 32, Math 28, Science 31",SAT II: N/A,GPA (out of 4.0): 3.95,Rank (percentile if rank is unavailable): 32/280 (no weight),Gender: Female,Ethnicity: White,"Income Bracket: ~25,000",School Type: Public
Decision: Rejected,SAT I (breakdown): None,"ACT (breakdown): Composite 31, Eng 35, Math 35 Read 25 Sci 34","SAT II: Bio M 760, Math1 780",GPA (out of 4.0): 3.85,Rank (percentile if rank is unavailable): 4/84,Gender: Male,Ethnicity: Latino,,School Type: Private
Decision: Deferred,"SAT I (breakdown): 1410 (Math 740, ER 670","ACT (breakdown): 31 (English 32, Math 31, Reading 32, Science 32)",SAT II: Chemistry 770,GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): 3/634,Gender: Male,Ethnicity: White,"Income Bracket: 60,000 - 80,000",School Type: Public
Decision: Rejected,,ACT (breakdown)- 33 (36 E 29 M 36 R 29 M),,GPA (out of 4.0)- 3.997,Rank (percentile if rank is unavailable)- 14/422 (UW),Gender- nonbinary (AFAB),Ethnicity- White,Income Bracket- > $100k,School Type- Public
Decision: Accepted,SAT I (breakdown): n/a,"ACT (breakdown): 34c (32E, 32R, 35M, 36S), superscore (32E, 34R, 35M, 36S)",SAT II: n/a,GPA (out of 4.0): 3.98 (one B+ in calc 2),Rank (percentile if rank is unavailable): 1/232,Gender: female,Ethnicity: white,"Income Bracket: <20,000","School Type: public inner-city, title I"
Decision: Rejected,SAT I: 1510 (800/710) (Didn't Submit),ACT: 36 (36/36/35/36/11),"SAT II: Math II 800, Chemistry 800",GPA (out of 4.0): 3.9,Rank : 10%,Gender: Male,Ethnicity: White,"Income Bracket: 250,000",School Type: Public
Decision: Rejected,"SAT I (breakdown): 700 Reading/Writing, 780 Math",ACT (breakdown): Didn't take.,"SAT II: 760 Bio, 800 Math II","GPA (out of 4.0): IDK, maybe around a 3.7",Rank (percentile if rank is unavailable): 1 / 135,Gender: Female,Ethnicity: African/Black,Income Bracket: 200k+,"School Type: Public, Rural"
,,,,,,,,,
Decision: Rejected,SAT I (breakdown):1370 (600r/770m),ACT (breakdown):30 (34m/30s/28r/27e),SAT II: did not take,GPA (out of 4.0): 4.0,Rank (percentile if rank is unavailable): 31/460-ish top 8%,Gender: Male,Ethnicity: Indian,Income Bracket: 300k+,"School Type: Public, suburban, new, competitive and ""high tech"""
Decision,SAT,ACT,Subject_tests,GPA,Rank,Gender,Ethnicity,Income_Bracket,School_Type
Decision: Accepted,"SAT II: 800 (US History), 750 (Math II)","ACT (breakdown): 35 C (36 E, 35 R, 34 S, 33 M, 12 essay/36 writing)","SAT II: 800 (US History), 750 (Math II)",GPA (out of 4.0): 4.0 (~98-99),Rank (percentile if rank is unavailable): 1/269,Gender: Female,Ethnicity: White,Income Bracket: Middle class,"School Type: Public (I was the only person accepted into Yale, Brown and Penn this year. I was the second admit ever to Yale, and maybe to Brown as well. We also had our first admit to Harvard yesterday & a handful of acceptances from Cornell)"
,,,,,,,,,
Decision: AcceptedObjective:,SAT I (breakdown): N/A,ACT (breakdown): 35 (36E 35M 34R 36S),"SAT II: 770 Math II, 750 Math I, 720 Chem",GPA (out of 4.0): 19.69/20,Rank (percentile if rank is unavailable): 2/175,Gender: Female,Ethnicity: White (Middle Eastern),"Income Bracket: <10,000$ (LOL)",School Type: NODET
Decision: Accepted,SAT I: 760R 800M 22E,,"SAT II: 800 Math II, 780 Chemistry, 780 Latin",GPA (out of 4.0): 4.0,"Rank: Officially N/A, unofficially at least top 5/120",Gender: prefer not to say,"Ethnicity: sorta complicated but basically half ashkenazi jew, half caribbean black",Income Bracket: 200kish,"School Type: private academic, full of high-achievers -- probably the best in my country"
Decision: Accepted,"SAT I (breakdown): 1530; Math: 800, Verbal: 730, 17 Essay",ACT (breakdown): Didn't take,"SAT II: Math Level 2: 700, World History: 630",GPA (out of 4.0): 3.92,Rank (percentile if rank is unavailable): 2,Gender: Male,Ethnicity: Black,Income Bracket: 60-70K,School Type: Magnet
Decision: Accepted,"SAT I (breakdown): 790 Math, 750 English, 19/24 Essay","ACT (breakdown): 35 English, 35 Math, 35 Reading, 34 Science, 8 Essay","SAT II: 780 US History, 790 Math II, 800 Bio",GPA (out of 4.0): 3.9,Rank (percentile if rank is unavailable): 13/301,Gender: Male,Ethnicity: Asian,Income Bracket: 250k+,School Type: Public
